haplotype	start	end
gc10s166	32039935	32246451
gc10s167	32246494	32443602
gc10s168	32443609	32599562
gc10s169	32599586	32802115
gc10s16	3136574	3274135
gc10s170	32802170	33002012
gc10s171	33002014	33205414
gc10s172	33205507	33399993
gc10s174	33605943	33758595
gc10s175	33758612	33923212
gc10s176	33923229	34153106
gc10s177	34153180	34325863
gc10s178	34325866	34488931
gc10s179	34488932	34643460
gc10s17	3274136	3489239
gc10s180	34643461	34817817
gc10s181	34817825	35021435
gc10s182	35021492	35189686
gc10s183	35189691	35374589
gc10s184	35374613	35545351
gc10s185	35546020	35807147
gc10s186	35807153	35995981
gc10s187	35995982	36226886
gc10s188	36226899	36358092
gc10s189	36358145	36547763
gc10s18	3489250	3908127
gc10s190	36547765	36781636
gc10s191	36781639	36948496
gc10s192	36948550	37093533
gc10s193	37093577	37276036
gc10s194	37276077	37446161
gc10s195	37446175	37732264
gc10s196	37732278	37906053
gc10s197	37906063	38108520
gc10s198	38108525	38279840
gc10s199	38279856	38449290
gc10s19	3908132	4039704
gc10s1	627712	770531
gc10s200	38449296	38628714
gc10s201	38628716	38828215
gc10s202	38828263	39106043
gc10s203	39106076	39322308
gc10s204	39322309	39546652
gc10s205	39546727	39739642
gc10s206	39739720	39967162
gc10s207	39967190	40169209
gc10s208	40169215	40357241
gc10s209	40357250	40545025
gc10s20	4039706	4227282
gc10s210	40545026	40677272
gc10s211	40677288	40874458
gc10s212	40874459	41091305
gc10s213	41091338	41321415
gc10s214	41321446	41532093
gc10s215	41532099	41707394
gc10s216	41707395	41902830
gc10s217	41902837	42149159
gc10s218	42149171	42370408
gc10s219	42370438	42596993
gc10s21	4227287	4415105
gc10s220	42597071	42865894
gc10s221	42865905	43070929
gc10s222	43070930	43290832
gc10s223	43290844	43486977
gc10s224	43486990	43723806
gc10s225	43723809	43938028
gc10s226	43938033	44136650
gc10s227	44136696	44376923
gc10s228	44376949	44570760
gc10s229	44570773	44781887
gc10s22	4415113	4530946
gc10s230	44781890	44991605
gc10s231	44991625	45222694
gc10s232	45222701	45407237
gc10s233	45407243	45604443
gc10s234	45604449	45828575
gc10s235	45828582	45997063
gc10s236	45997095	46192124
gc10s237	46192141	46395667
gc10s238	46395680	46608572
gc10s239	46608587	46782496
gc10s23	4530962	4676702
gc10s240	46782538	47013848
gc10s241	47013863	47267431
gc10s242	47267455	47488486
gc10s243	47488506	47689627
gc10s244	47689680	47899382
gc10s245	47899387	48111764
gc10s246	48111773	48302366
gc10s247	48302510	48491735
gc10s248	48491742	48701011
gc10s249	48701018	48990010
gc10s24	4676727	4790123
gc10s250	48990017	49194599
gc10s251	49194606	49398302
gc10s252	49398308	49608616
gc10s253	49608636	49816019
gc10s254	49816021	50065297
gc10s255	50065326	50383068
gc10s256	50383083	50656775
gc10s257	50656785	50916704
gc10s258	50916796	51161611
gc10s259	51161662	51629790
gc10s25	4790138	4998731
gc10s260	51630006	52010312
gc10s261	52010341	52309837
gc10s262	52309852	52598490
gc10s263	52598494	52886476
gc10s264	52886492	53090478
gc10s265	53090515	53357312
gc10s266	53357334	53550105
gc10s267	53550134	53693305
gc10s268	53693326	53856479
gc10s26	4998733	5289754
gc10s270	54045312	54231550
gc10s271	54231563	54376087
gc10s272	54376088	54543088
gc10s273	54543097	54768371
gc10s274	54768384	55008025
gc10s275	55008033	55336148
gc10s276	55336160	55545900
gc10s277	55545903	55690224
gc10s278	55690241	55954523
gc10s279	55954533	56157136
gc10s27	5289775	5488307
gc10s282	56716486	56892210
gc10s283	56892646	57169453
gc10s284	57169536	57368381
gc10s285	57368387	57637669
gc10s286	57637837	57796975
gc10s287	57796987	58007335
gc10s288	58007336	58286457
gc10s289	58286531	58516115
gc10s28	5488373	5658140
gc10s290	58516245	58732113
gc10s291	58732126	59037627
gc10s292	59037658	59265647
gc10s293	59265661	59493145
gc10s294	59493152	59649069
gc10s295	59649096	59803893
gc10s296	59803949	60046886
gc10s297	60046892	60255116
gc10s298	60255127	60424750
gc10s299	60424758	60614862
gc10s29	5658165	5799435
gc10s2	770541	977378
gc10s300	60614871	60819026
gc10s301	60819033	61007916
gc10s302	61007917	61296560
gc10s303	61296577	61523479
gc10s304	61523484	61707284
gc10s305	61707292	61911096
gc10s306	61911111	62057294
gc10s307	62057305	62261071
gc10s308	62261099	62408639
gc10s309	62408654	62591480
gc10s30	5799520	5931789
gc10s310	62591499	62761133
gc10s311	62761135	62960965
gc10s312	62960977	63105369
gc10s313	63105396	63263314
gc10s314	63263316	63438845
gc10s315	63438848	63621391
gc10s316	63621393	63815050
gc10s317	63815090	64222756
gc10s318	64222764	64419012
gc10s319	64419014	64614369
gc10s31	5931832	6192394
gc10s320	64614394	64830393
gc10s321	64830405	65014483
gc10s322	65014487	65215253
gc10s323	65215264	65443280
gc10s324	65443281	65630793
gc10s325	65630795	65819533
gc10s326	65819549	65961882
gc10s327	65961888	66101031
gc10s328	66101071	66313093
gc10s329	66313102	66506180
gc10s32	6192397	6395455
gc10s330	66506191	66688635
gc10s331	66688642	66865550
gc10s332	66865660	66950196
gc10s333	66950197	67118890
gc10s334	67118904	67341283
gc10s335	67341294	67555132
gc10s336	67555153	67778394
gc10s337	67778424	67999279
gc10s338	67999317	68187131
gc10s339	68187154	68422629
gc10s33	6395462	6588159
gc10s340	68422708	68641788
gc10s341	68641802	68828204
gc10s342	68828218	69026799
gc10s343	69026802	69196985
gc10s344	69197003	69440243
gc10s345	69440244	69609908
gc10s346	69609922	69780285
gc10s347	69780300	69896179
gc10s348	69896184	70061606
gc10s349	70061623	70265083
gc10s34	6588178	6812479
gc10s350	70265150	70389775
gc10s351	70389786	70581419
gc10s352	70581454	70826303
gc10s353	70826304	71045121
gc10s354	71045147	71237102
gc10s355	71237126	71414946
gc10s356	71414952	71573675
gc10s357	71573678	71743467
gc10s358	71743509	71938036
gc10s359	71938039	72189359
gc10s35	6812484	7027014
gc10s360	72189369	72449337
gc10s361	72449383	72650253
gc10s362	72650266	72805271
gc10s363	72805274	73025318
gc10s364	73025334	73195063
gc10s365	73195072	73359565
gc10s366	73359566	73530333
gc10s367	73530341	73805847
gc10s368	73805918	73998498
gc10s369	73998507	74264976
gc10s36	7027030	7220547
gc10s370	74264991	74451164
gc10s371	74451169	74599581
gc10s372	74599583	74789027
gc10s373	74789031	74923629
gc10s374	74923630	75106891
gc10s375	75106892	75301250
gc10s376	75301290	75548371
gc10s377	75548372	75776398
gc10s379	75933691	76151232
gc10s37	7220565	7557995
gc10s380	76151265	76365280
gc10s381	76365381	76576311
gc10s382	76576411	76739444
gc10s383	76739445	76923862
gc10s384	76923863	77162287
gc10s385	77162288	77349874
gc10s386	77349882	77546718
gc10s387	77546719	77758853
gc10s388	77758902	77985582
gc10s389	77985589	78166699
gc10s38	7557999	7678754
gc10s390	78166701	78385954
gc10s391	78385990	78642290
gc10s392	78642291	78852656
gc10s393	78853045	79126237
gc10s394	79126309	79343088
gc10s395	79343090	79555192
gc10s396	79555194	79798915
gc10s397	79798919	80004198
gc10s398	80004255	80301645
gc10s399	80301686	80507049
gc10s39	7678755	7906537
gc10s3	977384	1151244
gc10s400	80507050	80705435
gc10s401	80705444	80858568
gc10s402	80858620	81022719
gc10s403	81022763	81180444
gc10s404	81180496	81513043
gc10s405	81513065	81754254
gc10s406	81754255	82056374
gc10s407	82056375	82198736
gc10s408	82198739	82344269
gc10s409	82344277	82634460
gc10s40	7906554	8103222
gc10s410	82634462	82844511
gc10s411	82844514	83056908
gc10s412	83056916	83269855
gc10s413	83269898	83527510
gc10s414	83527514	83741197
gc10s415	83741296	83935532
gc10s416	83935562	84082166
gc10s417	84082192	84240407
gc10s418	84240408	84460632
gc10s419	84460639	84756909
gc10s41	8103303	8357796
gc10s420	84756922	85053469
gc10s421	85053514	85316800
gc10s422	85316803	85465409
gc10s423	85465411	85652541
gc10s424	85652542	85813502
gc10s425	85813512	86027656
gc10s426	86027659	86233393
gc10s427	86233428	86457338
gc10s428	86457350	86680003
gc10s429	86680018	86936342
gc10s42	8357799	8538151
gc10s430	86936364	87101904
gc10s431	87101909	87255108
gc10s432	87255109	87418476
gc10s433	87418477	87594875
gc10s434	87594879	87803154
gc10s435	87803248	88001142
gc10s436	88001152	88286099
gc10s437	88286113	88544104
gc10s438	88544105	88701151
gc10s439	88701156	88919022
gc10s43	8538152	8751388
gc10s440	88919024	89127740
gc10s441	89127746	89379084
gc10s442	89379095	89611453
gc10s443	89611848	89878952
gc10s444	89878955	90185793
gc10s445	90185899	90397692
gc10s446	90397720	90618766
gc10s447	90618787	90814812
gc10s448	90814813	90999966
gc10s449	90999975	91183770
gc10s44	8751406	8864488
gc10s450	91183775	91376136
gc10s451	91376159	91551304
gc10s452	91551306	91750330
gc10s453	91750370	91924214
gc10s454	91924273	92072074
gc10s455	92072321	92259787
gc10s456	92259797	92473939
gc10s457	92473949	92696114
gc10s458	92696116	92877579
gc10s459	92877591	93038734
gc10s45	8864496	9090452
gc10s460	93038736	93224684
gc10s461	93224713	93403425
gc10s462	93403432	93613643
gc10s463	93613659	93796214
gc10s464	93796232	94144790
gc10s465	94144860	94354338
gc10s466	94354364	94558892
gc10s467	94558896	94854771
gc10s468	94854773	95109337
gc10s469	95109343	95262779
gc10s46	9090459	9272544
gc10s470	95262797	95509326
gc10s471	95509329	95706418
gc10s472	95706433	95902834
gc10s473	95902838	96095003
gc10s474	96095014	96343905
gc10s475	96343910	96484295
gc10s476	96484304	96652759
gc10s477	96652800	96829392
gc10s478	96829411	96927992
gc10s479	96927998	97132111
gc10s47	9272545	9423877
gc10s480	97132122	97369413
gc10s481	97369421	97531232
gc10s482	97531240	97679767
gc10s483	97679787	97843405
gc10s484	97843450	98025355
gc10s485	98025364	98230542
gc10s486	98230544	98404130
gc10s487	98404206	98596281
gc10s488	98596396	98820093
gc10s489	98820094	98944904
gc10s48	9423887	9538802
gc10s490	98944906	99085024
gc10s491	99085052	99235922
gc10s492	99235980	99346001
gc10s493	99346018	99491605
gc10s494	99491606	99662964
gc10s495	99662972	99868763
gc10s496	99868766	100061554
gc10s497	100061574	100243704
gc10s498	100243722	100461805
gc10s499	100461810	100706833
gc10s49	9538810	9691875
gc10s4	1151251	1361354
gc10s500	100706841	100926203
gc10s501	100926214	101133659
gc10s502	101133871	101363102
gc10s503	101363110	101588559
gc10s504	101588570	101882101
gc10s505	101882104	102086296
gc10s506	102086314	102337288
gc10s507	102337300	102536127
gc10s508	102536176	102734001
gc10s509	102734003	102971775
gc10s50	9691881	9931286
gc10s510	102971787	103135482
gc10s511	103135486	103287747
gc10s512	103287749	103450903
gc10s513	103450908	103613947
gc10s514	103613954	103842896
gc10s515	103842897	104088211
gc10s516	104088222	104348115
gc10s517	104348141	104608471
gc10s518	104608509	104804315
gc10s519	104804326	105018513
gc10s51	9931294	10098337
gc10s520	105018543	105203904
gc10s521	105203919	105503708
gc10s522	105503711	105753509
gc10s523	105753549	105920488
gc10s524	105920493	106156859
gc10s525	106156903	106429637
gc10s526	106429640	106593324
gc10s527	106593326	106882376
gc10s528	106882380	107095560
gc10s529	107095620	107265822
gc10s52	10098418	10242346
gc10s530	107265845	107460783
gc10s531	107460789	107788125
gc10s532	107788135	108026570
gc10s533	108026607	108187394
gc10s534	108187397	108381544
gc10s535	108381545	108564631
gc10s536	108564640	108863688
gc10s537	108863698	109031186
gc10s538	109031246	109267692
gc10s539	109267695	109423757
gc10s53	10242370	10397529
gc10s540	109423809	109605454
gc10s541	109605467	109813851
gc10s542	109813854	109944033
gc10s543	109944049	110205940
gc10s544	110205941	110391807
gc10s545	110391815	110646066
gc10s546	110646069	110861517
gc10s547	110861544	111111082
gc10s548	111111087	111310752
gc10s549	111310754	111510022
gc10s54	10397536	10556599
gc10s550	111510036	111684669
gc10s551	111684672	111874373
gc10s552	111874384	112104563
gc10s553	112104573	112325222
gc10s554	112325236	112427235
gc10s555	112427236	112598499
gc10s556	112598507	112788514
gc10s557	112788686	113007918
gc10s558	113007919	113218083
gc10s559	113218091	113399748
gc10s55	10556610	10657368
gc10s560	113399750	113581547
gc10s561	113581550	113777238
gc10s562	113777243	113982061
gc10s563	113982206	114122130
gc10s564	114122132	114302922
gc10s565	114302923	114468185
gc10s566	114468203	114677720
gc10s567	114677721	114894364
gc10s568	114894372	115136368
gc10s569	115136370	115386484
gc10s56	10657401	10824691
gc10s570	115386490	115588267
gc10s571	115588277	115703187
gc10s572	115703199	115962713
gc10s573	115962714	116193858
gc10s574	116193894	116353785
gc10s575	116353789	116524195
gc10s576	116524196	116696473
gc10s577	116696515	116872592
gc10s578	116872642	117068363
gc10s579	117068386	117268953
gc10s57	10824699	11000366
gc10s580	117268985	117591361
gc10s581	117591370	117776244
gc10s582	117776245	117971980
gc10s583	117972013	118176898
gc10s584	118176899	118392440
gc10s585	118392479	118706457
gc10s586	118706522	118898051
gc10s587	118898052	119045462
gc10s588	119045463	119212561
gc10s589	119212563	119498665
gc10s58	11000418	11179980
gc10s590	119498677	119735328
gc10s591	119735335	119926852
gc10s592	119926860	120123726
gc10s593	120123732	120360613
gc10s594	120360645	120561605
gc10s595	120561608	120750665
gc10s596	120750668	120973681
gc10s597	120973725	121244518
gc10s598	121244524	121431079
gc10s599	121431081	121674669
gc10s59	11179993	11307154
gc10s5	1361403	1622014
gc10s600	121674673	121914139
gc10s601	121914156	122116082
gc10s602	122116100	122312880
gc10s603	122312881	122605673
gc10s604	122605690	122760719
gc10s605	122760753	122935816
gc10s606	122935855	123311877
gc10s607	123311888	123495481
gc10s608	123495498	123678118
gc10s609	123678232	123903322
gc10s60	11307155	11563773
gc10s610	123903328	124144222
gc10s611	124144231	124349266
gc10s612	124349278	124477904
gc10s613	124477925	124646322
gc10s614	124646325	124858147
gc10s615	124858154	125180803
gc10s616	125180812	125362351
gc10s617	125362365	125564166
gc10s618	125564246	125937711
gc10s619	125937717	126158449
gc10s61	11563774	11773888
gc10s620	126158453	126464441
gc10s621	126464449	126666848
gc10s622	126666851	126900360
gc10s623	126900390	127059895
gc10s624	127059904	127288580
gc10s625	127288581	127441158
gc10s626	127441159	127576706
gc10s627	127576714	127757995
gc10s628	127758003	127924338
gc10s629	127924375	128137787
gc10s62	11773890	11996212
gc10s630	128137789	128357003
gc10s631	128357014	128577921
gc10s632	128577928	128715970
gc10s633	128715992	128871328
gc10s634	128871332	129014759
gc10s635	129014764	129219201
gc10s636	129219202	129398195
gc10s637	129398236	129611374
gc10s638	129611382	129876895
gc10s639	129876896	130080950
gc10s63	11996226	12179220
gc10s640	130080966	130284336
gc10s641	130284355	130470671
gc10s642	130470692	130650639
gc10s643	130650648	130832008
gc10s644	130832011	130991384
gc10s645	130991395	131192481
gc10s646	131192496	131492053
gc10s647	131492056	131753772
gc10s648	131753832	131995837
gc10s649	131995842	132120051
gc10s64	12179227	12379154
gc10s650	132120055	132341023
gc10s651	132341029	132481151
gc10s652	132481166	132606725
gc10s653	132606727	132917630
gc10s654	132917634	133138056
gc10s655	133138064	133324776
gc10s656	133324782	133493320
gc10s657	133493328	133698829
gc10s658	133698844	133818162
gc10s659	133818164	134065176
gc10s65	12379156	12633442
gc10s660	134065179	134312186
gc10s661	134312189	134514562
gc10s662	134514564	134668412
gc10s663	134668428	134852827
gc10s664	134852835	135047494
gc10s665	135047685	135297336
gc10s666	135297445	135557597
gc10s667	135557651	135708106
gc10s668	135708107	135972643
gc10s669	135972648	136118369
gc10s66	12633509	12871613
gc10s670	136118514	136295697
gc10s671	136295698	136501705
gc10s672	136501710	136738392
gc10s673	136738409	136956368
gc10s674	136956369	137203392
gc10s675	137203400	137410361
gc10s676	137410386	137579643
gc10s677	137579836	137775991
gc10s678	137775994	137960142
gc10s679	137960144	138097102
gc10s67	12871614	13041866
gc10s680	138097155	138249061
gc10s681	138249075	138487451
gc10s682	138487455	138688909
gc10s683	138688913	138862853
gc10s684	138862854	139039379
gc10s685	139039386	139259363
gc10s686	139259372	139417834
gc10s687	139417835	139567367
gc10s688	139567372	139737195
gc10s689	139737200	140016036
gc10s68	13041870	13202519
gc10s690	140016037	140208963
gc10s691	140208969	140398998
gc10s692	140398999	140552850
gc10s693	140552851	140771315
gc10s694	140771325	140924309
gc10s695	140924312	141022525
gc10s696	141022528	141152081
gc10s697	141152099	141355158
gc10s698	141355172	141514391
gc10s699	141514470	141648551
gc10s69	13202543	13399416
gc10s6	1622056	1797774
gc10s700	141648557	141823977
gc10s701	141823978	142000771
gc10s702	142000776	142221689
gc10s703	142221690	142398987
gc10s704	142398988	142644556
gc10s705	142644620	142847617
gc10s706	142847661	142967362
gc10s707	142967364	143154762
gc10s708	143154770	143489534
gc10s709	143489537	143726163
gc10s70	13399460	13594457
gc10s710	143726164	143943960
gc10s711	143943966	144103392
gc10s712	144103395	144223227
gc10s713	144223233	144408792
gc10s714	144408795	144610937
gc10s715	144610948	144783715
gc10s716	144783722	145013700
gc10s717	145013748	145154131
gc10s718	145154132	145339761
gc10s719	145339778	145586989
gc10s71	13594496	13796664
gc10s720	145586991	145749393
gc10s721	145749403	145957322
gc10s722	145957363	146102968
gc10s723	146102973	146379365
gc10s724	146379381	146506024
gc10s725	146506056	146620090
gc10s726	146620091	146768268
gc10s727	146768271	146899922
gc10s728	146899923	147051372
gc10s729	147051407	147289642
gc10s72	13796665	13964494
gc10s730	147289659	147452737
gc10s731	147452781	147668705
gc10s732	147668706	147860328
gc10s733	147860329	148032729
gc10s734	148032749	148239878
gc10s735	148239962	149584883
gc10s73	13964495	14133105
gc10s74	14133107	14396069
gc10s75	14396070	14604984
gc10s76	14604987	14738058
gc10s77	14738086	14893780
gc10s78	14893783	15099400
gc10s79	15099426	15328299
gc10s7	1797787	1929905
gc10s80	15328302	15563680
gc10s81	15563722	15847670
gc10s82	15847671	16094980
gc10s83	16094981	16260894
gc10s84	16260904	16434331
gc10s85	16434336	16616072
gc10s86	16616085	16834825
gc10s87	16835052	17177919
gc10s88	17177934	17440708
gc10s89	17440743	17691039
gc10s8	1929919	2052402
gc10s90	17691046	17967114
gc10s91	17967118	18243801
gc10s92	18243820	18475060
gc10s93	18475061	18683743
gc10s94	18683745	18831282
gc10s95	18831286	18942588
gc10s96	18942609	19129946
gc10s97	19129947	19249118
gc10s98	19249119	19383688
gc10s99	19383696	19528151
gc10s9	2052404	2159273
txt		
