sample	chr	start	end	donor1	donor2
M6	10	90234803	90881768	W117_inra	W117_inra
M6	10	91370386	91796798	A632_usa	A632_usa
M6	10	91797205	92545767	A632_usa	FV252_inra
M6	10	92545966	93410562	A632_usa	A632_usa
M6	10	93410981	96615121	A632_usa	W117_inra
M6	10	96616140	98383288	W117_inra	W117_inra
M6	10	98383516	99221063	A632_usa	W117_inra
M6	10	99221258	99742909	W117_inra	W117_inra
M6	10	99743282	99911476	OH43_inra	OH43_inra
M6	10	99911577	100450060	W117_inra	W117_inra
M6	10	100450183	100972315	A632_usa	W117_inra
M6	10	100973058	101997584	A632_usa	OH43_inra
M6	10	102003172	102513472	OH43_inra	OH43_inra
M6	10	102514194	103167180	A632_usa	FV2_inra
M6	10	103439700	104787917	FV2_inra	FV2_inra
M6	10	104788136	106068079	A632_usa	FV2_inra
M6	10	106490379	107337681	FV2_inra	FV2_inra
M6	10	107337795	110323082	A632_usa	FV2_inra
M6	10	110323401	111200464	FV252_inra	FV2_inra
M6	10	111200789	116997609	A632_usa	C103_inra
M6	10	116997641	117096586	A632_usa	A654_inra
M6	10	117098221	118019799	A632_usa	C103_inra
M6	10	118019963	118393403	A632_usa	FV252_inra
M6	10	118394298	119151088	C103_inra	C103_inra
M6	10	119152272	123697393	A632_usa	C103_inra
M6	10	123697429	123904728	A632_usa	FV2_inra
M6	10	123904776	124251513	A632_usa	C103_inra
M6	10	124251579	124346881	A632_usa	OH43_inra
M6	10	124347064	124546245	A632_usa	C103_inra
M6	10	124752289	125185334	FV252_inra	OH43_inra
M6	10	125216108	125868209	A632_usa	OH43_inra
M6	10	125872270	126151368	A632_usa	FV252_inra
M6	10	126151399	126305861	FV252_inra	FV252_inra
M6	10	126328466	126556320	OH43_inra	OH43_inra
M6	10	126556441	126669427	A632_usa	OH43_inra
M6	10	126669492	126912953	A632_usa	CO255_inra
M6	10	126913059	128013502	A632_usa	OH43_inra
M6	10	128014308	128580596	A632_usa	FV252_inra
M6	10	128584390	128970276	A632_usa	OH43_inra
M6	10	128970462	129544719	A632_usa	CO255_inra
M6	10	129544752	129837825	CO255_inra	CO255_inra
M6	10	129838266	130930299	A632_usa	OH43_inra
M6	10	130930592	131593852	OH43_inra	OH43_inra
M6	10	131761850	131924510	A632_usa	FV252_inra
M6	10	131993277	132110600	A632_usa	A632_usa
M6	10	132110681	133532242	A632_usa	FV252_inra
M6	10	133533303	133908327	VA85	VA85
M6	10	133908809	134082363	FV252_inra	FV252_inra
M6	10	134082446	135023957	A632_usa	FV252_inra
M6	10	135024167	135352220	FV252_inra	FV252_inra
M6	10	135352346	139413606	A632_usa	OH43_inra
M6	10	139418421	140163135	OH43_inra	OH43_inra
M6	10	140165674	144038971	A632_usa	OH43_inra
M6	10	144039166	148415490	A632_usa	B73_inra
M6	10	148415791	149602124	B73_inra	B73_inra
M8	10	275461	2785734	A632_usa	B73_inra
M8	10	2785816	8858523	A632_usa	A632_usa
M8	10	8858581	20709941	A632_usa	CO255_inra
M8	10	20710047	21137802	CO255_inra	CO255_inra
M8	10	21138153	21701415	A632_usa	CO255_inra
M8	10	21701551	23810975	A632_usa	W117_inra
M8	10	23811083	24342523	A632_usa	FV252_inra
M8	10	24343167	24793312	A632_usa	W117_inra
M8	10	24793649	24972143	A632_usa	CO255_inra
M8	10	24972267	25785401	A632_usa	W117_inra
M8	10	25785486	26356306	A632_usa	FV252_inra
M8	10	26356424	27110507	A632_usa	C103_inra
M8	10	27110852	27548702	A632_usa	W117_inra
M8	10	27548783	27657997	A632_usa	CO255_inra
M8	10	27658057	28497789	A632_usa	W117_inra
M8	10	28497825	29635212	W117_inra	W117_inra
M8	10	29656989	30445313	A632_usa	CO255_inra
M8	10	30445376	33615097	A632_usa	W117_inra
M8	10	33615244	34244943	A632_usa	FV252_inra
M8	10	34244990	34528895	FV252_inra	FV252_inra
M8	10	34529332	41652466	A632_usa	FV252_inra
M8	10	41657384	70025114	W117_inra	W117_inra
M8	10	70025114	84617949	ND245	ND245
M8	10	84622408	85826737	A632_usa	ND245
M8	10	85828736	86112137	ND245	ND245
M8	10	86112172	86438751	A632_usa	ND245
M8	10	86439178	86755359	A632_usa	F492
M8	10	86755497	87311403	A632_usa	ND245
M8	10	87311509	88051117	A632_usa	FV2_inra
M8	10	88067415	88566282	A632_usa	ND245
M8	10	88566601	88695623	ND245	ND245
M8	10	88696231	89556525	A632_usa	ND245
M8	10	89556596	89938296	ND245	ND245
M8	10	89938528	90497922	A632_usa	ND245
M8	10	90498580	90881768	A632_usa	F492
M8	10	90882598	91280974	A632_usa	ND245
M8	10	91370386	91541648	ND245	ND245
M8	10	91541779	92927998	A632_usa	ND245
M8	10	92928230	93410562	A632_usa	OH43_inra
M8	10	93410981	94013518	A632_usa	ND245
M8	10	94014647	94586750	ND245	ND245
M8	10	94586800	95216598	W117_inra	ND245
M8	10	95217371	95448851	A632_usa	W117_inra
M8	10	95449344	98383288	A632_usa	VA85
M8	10	98383516	99911476	A632_usa	FV252_inra
M8	10	99911577	100113261	VA85	VA85
M8	10	100114333	100972315	A632_usa	FV252_inra
M8	10	100973058	103439033	A632_usa	C103_inra
M8	10	103439700	103676518	A632_usa	CO255_inra
M8	10	103677199	104013602	VA85	VA85
M8	10	104037492	105070629	A632_usa	A632_usa
M8	10	105073880	105315927	VA85	VA85
M8	10	105316069	106068079	A632_usa	OH43_inra
M8	10	106956452	107830451	FV252_inra	FV252_inra
M8	10	107830709	108430816	A632_usa	FV252_inra
M8	10	108430918	108840049	A632_usa	F492
M8	10	108844044	110022513	F492	F492
M8	10	110022525	110778922	A632_usa	F492
M8	10	110779272	111200464	A632_usa	FV252_inra
M8	10	111200789	112136285	A632_usa	F492
M8	10	112144587	112328702	A632_usa	W117_inra
M8	10	112329407	113536646	A632_usa	F492
M8	10	113536725	113848743	A632_usa	W117_inra
M8	10	113849259	114078635	A632_usa	F492
M8	10	114133824	114368419	A632_usa	OH43_inra
M8	10	114370661	114892724	A632_usa	F492
M8	10	114976464	116817705	A632_usa	A654_inra
M8	10	116818293	116997609	F492	F492
M8	10	116997641	121744125	A632_usa	A654_inra
M8	10	121744214	121987603	A654_inra	FV2_inra
M8	10	121987745	124750059	A632_usa	FV2_inra
M8	10	124752289	125559471	A632_usa	FV252_inra
M8	10	125559563	126556320	A632_usa	FV2_inra
M8	10	126556441	126669427	A632_usa	FV252_inra
M8	10	126669492	128013502	A632_usa	FV2_inra
M8	10	128014308	128580596	FV2_inra	FV2_inra
M8	10	128584390	128970276	A632_usa	CO255_inra
M8	10	128970462	129837825	A632_usa	FV2_inra
M8	10	129838266	130103352	A632_usa	CO255_inra
M8	10	130104500	133195254	A632_usa	FV2_inra
M8	10	133195363	133349595	A632_usa	CO255_inra
M8	10	133349838	133843419	A632_usa	FV2_inra
M8	10	133844387	134082363	A632_usa	CO255_inra
M8	10	134082446	134797488	A632_usa	FV2_inra
M8	10	134815572	135023957	A632_usa	CO255_inra
M8	10	135024167	135352220	FV2_inra	FV2_inra
M8	10	135352346	136959395	A632_usa	FV2_inra
M8	10	136959439	137193046	CO255_inra	A654_inra
M8	10	137193091	137339396	A632_usa	CO255_inra
M8	10	137339859	139413606	A632_usa	A654_inra
M8	10	139418421	139733664	A654_inra	A654_inra
M8	10	139733755	140409407	A632_usa	A654_inra
M8	10	140411300	140504875	A654_inra	A654_inra
M8	10	140507275	141762413	A632_usa	A654_inra
M8	10	141762451	142142212	OH43_inra	A654_inra
M8	10	142142413	143739723	A632_usa	OH43_inra
M8	10	143739819	144038971	OH43_inra	OH43_inra
M8	10	144039166	147554454	A632_usa	OH43_inra
M8	10	147556384	147844079	OH43_inra	OH43_inra
M8	10	147844985	148415490	A632_usa	OH43_inra
M8	10	148415791	148707844	A632_usa	FV252_inra
M3	10	275461	15010360	W117_inra	W117_inra
M3	10	15010360	42944553	B96	B96
M3	10	42944644	51385833	A632_usa	B96
M3	10	51390949	52219698	A632_usa	A654_inra
M3	10	52219774	53609716	A632_usa	B96
M3	10	53609785	56059341	A632_usa	FV252_inra
M3	10	56059564	56494208	A632_usa	B96
M3	10	56494253	58405467	A632_usa	FV252_inra
M3	10	58448309	58685329	A632_usa	A654_inra
M3	10	58685363	59053797	A632_usa	FV252_inra
M3	10	59054095	59313121	A632_usa	B96
M3	10	59313909	59518409	A632_usa	A632_usa
M3	10	59518453	59574300	A632_usa	CO255_inra
M3	10	59591629	59880995	A632_usa	B96
M3	10	59881448	60346034	A632_usa	FV252_inra
M3	10	60346528	60636849	A632_usa	B96
M3	10	60637123	61007395	A632_usa	C103_inra
M3	10	61008014	62053899	A632_usa	FV252_inra
M3	10	62129414	63081514	A632_usa	B96
M3	10	63086738	63417166	B96	B96
M3	10	63433299	64274465	A632_usa	B96
M3	10	64276165	64746113	B96	B96
M3	10	64746149	65012751	FV252_inra	FV252_inra
M3	10	65012808	65213839	VA85	VA85
M3	10	65490731	66650785	A632_usa	A654_inra
M3	10	66651014	67022553	A632_usa	FV252_inra
M3	10	67022589	67751459	A632_usa	CO255_inra
M3	10	67752751	69112532	A632_usa	B96
M3	10	69112826	69609881	B96	B96
M3	10	69613763	70932954	A632_usa	B96
M3	10	70933032	71065116	A632_usa	A654_inra
M3	10	71065155	74807724	A632_usa	B96
M3	10	74814966	74968835	D105_inra	B96
M3	10	74998552	75531898	B73_inra	D105_inra
M3	10	75532854	76006201	A632_usa	D105_inra
M3	10	76010156	76530990	A632_usa	CO255_inra
M3	10	76531025	76789693	D105_inra	D105_inra
M3	10	76789732	80602731	A632_usa	D105_inra
M3	10	80602780	80748974	A632_usa	A654_inra
M3	10	80750258	82027497	A632_usa	D105_inra
M3	10	82027537	82219590	A632_usa	C103_inra
M3	10	82219695	82626892	A632_usa	VA85
M3	10	82626917	83076430	A632_usa	C103_inra
M3	10	83076491	83684939	A632_usa	VA85
M3	10	83685071	84080132	D105_inra	F492
M3	10	84080264	84617949	A632_usa	F492
M3	10	84622408	115067507	F492	F492
M3	10	115067507	130532271	DK63	DK63
M3	10	130532271	149602124	B73_inra	B73_inra
M5	10	275461	1287330	D105_inra	D105_inra
M5	10	1288077	3168217	A632_usa	D105_inra
M5	10	3168857	3992841	C103_inra	D105_inra
M5	10	3998120	4872209	A632_usa	C103_inra
M5	10	4875247	5008869	C103_inra	C103_inra
M5	10	5009443	8090630	A632_usa	C103_inra
M5	10	8091380	8714014	A632_usa	FV2_inra
M5	10	8714547	10735663	A632_usa	C103_inra
M5	10	10735774	10889066	C103_inra	C103_inra
M5	10	10889419	12532453	A632_usa	C103_inra
M5	10	12535465	12718802	C103_inra	C103_inra
M5	10	12718845	12927838	A632_usa	A632_usa
M5	10	12928042	15037381	A632_usa	C103_inra
M5	10	15037960	15401979	A632_usa	FV252_inra
M5	10	15402180	15723828	A632_usa	C103_inra
M5	10	15724079	16220700	C103_inra	C103_inra
M5	10	16221639	16930776	A632_usa	C103_inra
M5	10	16946908	19080273	C103_inra	C103_inra
M5	10	19080369	19860271	A632_usa	C103_inra
M5	10	19861267	20709941	A632_usa	OH43_inra
M5	10	20710047	21137802	VA85	VA85
M5	10	21138153	21408350	A632_usa	OH43_inra
M5	10	21409113	24608118	A632_usa	C103_inra
M5	10	24608203	24972143	C103_inra	C103_inra
M5	10	24972267	25570369	A632_usa	C103_inra
M5	10	25570874	25785401	A632_usa	FV252_inra
M5	10	25785486	26096528	CO255_inra	FV252_inra
M5	10	26096579	26356306	A632_usa	A654_inra
M5	10	26356424	27110507	A654_inra	A654_inra
M5	10	27110852	28783849	A632_usa	A654_inra
M5	10	28874479	31316608	A654_inra	A654_inra
M5	10	31316789	33615097	A632_usa	A654_inra
M5	10	33615244	33774744	A654_inra	A654_inra
M5	10	33776563	37297180	A632_usa	A654_inra
M5	10	37298531	38540552	A632_usa	FV252_inra
M5	10	38540870	38927809	A632_usa	A654_inra
M5	10	38928853	40089337	A632_usa	FV252_inra
M5	10	40089663	41652466	A632_usa	A654_inra
M5	10	41657384	82021257	A654_inra	A654_inra
M5	10	82021257	84617949	FV252_inra	FV252_inra
M5	10	84622408	113004597	W117_inra	W117_inra
M5	10	113004597	123127233	EP1_inra	EP1_inra
M5	10	123127380	123697393	A632_usa	EP1_inra
M5	10	123697429	123904728	A632_usa	FV2_inra
M5	10	123904776	124251513	A632_usa	EP1_inra
M5	10	124251579	124346881	A632_usa	FV2_inra
M5	10	124347064	124546245	EP1_inra	EP1_inra
M5	10	124546286	125185334	A632_usa	EP1_inra
M5	10	125216108	125559471	A632_usa	FV252_inra
M5	10	125559563	126556320	A632_usa	FV2_inra
M5	10	126556441	126669427	A632_usa	FV252_inra
M5	10	126669492	134797488	A632_usa	EP1_inra
M5	10	134815572	135352220	EP1_inra	EP1_inra
M5	10	135352346	136959395	A632_usa	EP1_inra
M5	10	136959439	137673396	A632_usa	D105_inra
M5	10	137674337	137841244	A632_usa	FV252_inra
M5	10	137841324	138243312	A632_usa	D105_inra
M5	10	138243518	138758266	A632_usa	EP1_inra
M5	10	138758585	139027929	A632_usa	D105_inra
M5	10	139028342	139148371	A632_usa	C103_inra
M5	10	139149029	139413606	A632_usa	D105_inra
M5	10	139418421	139733664	D105_inra	D105_inra
M5	10	139733755	146021349	A632_usa	D105_inra
M5	10	146021391	146117699	D105_inra	D105_inra
M5	10	146117892	146762599	A632_usa	D105_inra
M5	10	146762760	146885484	FV252_inra	D105_inra
M5	10	146886061	147037403	CO255_inra	ND245
M5	10	147038012	147844079	A632_usa	VA85
M5	10	147844985	147942733	A632_usa	FV252_inra
M5	10	147942830	148312817	A632_usa	VA85
M5	10	148313997	148415490	A632_usa	DK63
M5	10	148415791	149602124	VA85	VA85
M2	10	275461	11052396	W117_inra	W117_inra
M2	10	11052396	102306508	A632_usa	A632_usa
M2	10	102306508	123127233	F492	F492
M2	10	123127380	123466963	A654_inra	A654_inra
M2	10	123467230	123904728	A632_usa	A654_inra
M2	10	123904776	124546245	A654_inra	A654_inra
M2	10	124546286	124750059	F492	F492
M2	10	124752289	125327007	A632_usa	F492
M2	10	125352343	125868209	A632_usa	A654_inra
M2	10	125872270	125992264	A632_usa	F492
M2	10	125992688	126305861	F492	F492
M2	10	126328466	127493933	A632_usa	A654_inra
M2	10	127543059	128013502	A654_inra	A654_inra
M2	10	128014308	128580596	A632_usa	FV252_inra
M2	10	128584390	128720433	A632_usa	F492
M2	10	128720594	129184175	A632_usa	FV252_inra
M2	10	129184240	130311407	A632_usa	F492
M2	10	130320818	130535007	A632_usa	FV252_inra
M2	10	130535114	132977336	A632_usa	F492
M2	10	132977504	133195254	A632_usa	A654_inra
M2	10	133195363	133843419	A632_usa	F492
M2	10	133844387	133908327	A632_usa	CO255_inra
M2	10	133908809	135352220	A632_usa	F492
M2	10	135352346	135650556	F492	F492
M2	10	135650917	135936288	A632_usa	DK63
M2	10	135936558	139148371	A632_usa	A632_usa
M2	10	139149029	141762413	A632_usa	F492
M2	10	141762451	142142212	DK63	F492
M2	10	142142413	143165584	A632_usa	A632_usa
M2	10	143167072	143538580	A632_usa	DK63
M2	10	143538874	143739723	DK63	DK63
M2	10	143739819	144914243	A632_usa	DK63
M2	10	144914387	145326784	DK63	ND245
M2	10	145328019	146021349	A632_usa	ND245
M2	10	146021391	146117699	A632_usa	CO255_inra
M2	10	146117892	147037403	A632_usa	ND245
M2	10	147038012	147252819	A632_usa	FV252_inra
M2	10	147255393	147395915	A632_usa	ND245
M2	10	147431641	147844079	ND245	ND245
M2	10	147844985	148043244	D105_inra	ND245
M2	10	148043253	149602124	A632_usa	D105_inra
M9	10	275461	1680374	A632_usa	A632_usa
M9	10	1680639	16507327	A632_usa	CO255_inra
M9	10	16507406	16930776	CO255_inra	A654_inra
M9	10	17784635	18183714	A654_inra	A654_inra
M9	10	18186491	18807833	ND245	ND245
M9	10	18808492	19080273	A632_usa	ND245
M9	10	19080369	19499195	A632_usa	DK63
M9	10	19500719	19860271	A632_usa	ND245
M9	10	19861267	20709941	A632_usa	OH43_inra
M9	10	20710047	20931733	VA85	VA85
M9	10	20933268	21137802	ND245	ND245
M9	10	21138153	21701415	A632_usa	ND245
M9	10	21701551	22268087	A632_usa	CO255_inra
M9	10	22269567	22647577	A632_usa	ND245
M9	10	22647616	24793312	A632_usa	A654_inra
M9	10	24793649	25290271	A654_inra	A654_inra
M9	10	25305606	25570369	ND245	ND245
M9	10	25570874	26356306	A632_usa	A654_inra
M9	10	26356424	27110507	ND245	ND245
M9	10	27110852	27657997	A632_usa	ND245
M9	10	27658057	29635212	ND245	ND245
M9	10	29656989	31020150	A632_usa	ND245
M9	10	31020163	31540003	A632_usa	OH43_inra
M9	10	31810691	34011434	VA85	VA85
M9	10	34011465	35919634	A632_usa	OH43_inra
M9	10	35936497	38318355	VA85	VA85
M9	10	38318601	39597050	A632_usa	A632_usa
M9	10	39597515	115954939	VA85	VA85
M9	10	115954939	123366126	OH43_inra	OH43_inra
M9	10	123366346	124346881	A632_usa	OH43_inra
M9	10	124347064	124750059	OH43_inra	OH43_inra
M9	10	124752289	125868209	A632_usa	OH43_inra
M9	10	125872270	126151368	A632_usa	FV252_inra
M9	10	126151399	126305861	FV252_inra	FV252_inra
M9	10	126328466	126556320	OH43_inra	OH43_inra
M9	10	126556441	126669427	A632_usa	OH43_inra
M9	10	126669492	126912953	A632_usa	CO255_inra
M9	10	126913059	128013502	A632_usa	OH43_inra
M9	10	128014308	128580596	A632_usa	FV252_inra
M9	10	128584390	128970276	A632_usa	OH43_inra
M9	10	128970462	129544719	A632_usa	CO255_inra
M9	10	129544752	129837825	CO255_inra	CO255_inra
M9	10	129838266	130930299	A632_usa	OH43_inra
M9	10	130930592	131593852	OH43_inra	OH43_inra
M9	10	131761850	131924510	A632_usa	FV252_inra
M9	10	131993277	132110600	A632_usa	A632_usa
M9	10	132110681	133532242	A632_usa	FV252_inra
M9	10	133533303	133908327	VA85	VA85
M9	10	133908809	134082363	FV252_inra	FV252_inra
M9	10	134082446	135023957	A632_usa	FV252_inra
M9	10	135024167	135352220	FV252_inra	FV252_inra
M9	10	135352346	139413606	A632_usa	OH43_inra
M9	10	139418421	140163135	OH43_inra	OH43_inra
M9	10	140165674	143739723	A632_usa	OH43_inra
M9	10	143739819	144038971	OH43_inra	OH43_inra
M9	10	144039166	147037403	A632_usa	OH43_inra
M9	10	147038012	147395915	A632_usa	C103_inra
M9	10	147431641	147844079	C103_inra	C103_inra
M9	10	147844985	148043244	FV2_inra	C103_inra
M9	10	148043253	148312817	A632_usa	FV2_inra
M9	10	148313997	149602124	FV2_inra	FV2_inra
M4	10	275461	11055062	B96	B96
M4	10	11055062	78008253	W117_inra	W117_inra
M4	10	78008253	123127233	EP1_inra	EP1_inra
M4	10	123127380	123697393	A632_usa	EP1_inra
M4	10	123697429	123904728	A632_usa	FV2_inra
M4	10	123904776	124251513	A632_usa	EP1_inra
M4	10	124251579	124346881	A632_usa	FV2_inra
M4	10	124347064	124546245	EP1_inra	EP1_inra
M4	10	124546286	125185334	A632_usa	EP1_inra
M4	10	125216108	125559471	A632_usa	FV252_inra
M4	10	125559563	126556320	A632_usa	FV2_inra
M4	10	126556441	126669427	A632_usa	FV252_inra
M4	10	126669492	129837825	A632_usa	EP1_inra
M4	10	129838266	130103352	CO255_inra	EP1_inra
M4	10	130104500	130930299	A632_usa	OH43_inra
M4	10	130930592	131593852	OH43_inra	OH43_inra
M4	10	131761850	131924510	A632_usa	FV252_inra
M4	10	131993277	132110600	A632_usa	A632_usa
M4	10	132110681	133532242	A632_usa	FV252_inra
M4	10	133533303	133843419	VA85	VA85
M4	10	134082446	134797488	A632_usa	A632_usa
M4	10	134815572	137193046	A632_usa	A654_inra
M4	10	137193091	138758266	A632_usa	A632_usa
M4	10	138758585	140933101	A632_usa	FV252_inra
M4	10	140933262	141371951	FV252_inra	FV252_inra
M4	10	141373604	143090150	A632_usa	FV252_inra
M4	10	143090452	143165584	A632_usa	B73_inra
M4	10	143167072	145326784	A632_usa	FV252_inra
M4	10	145328019	145494871	VA85	VA85
M4	10	145495028	146021349	A632_usa	FV252_inra
M4	10	146021391	146117699	A632_usa	CO255_inra
M4	10	146117892	148707844	A632_usa	FV252_inra
M4	10	148708042	149602124	FV252_inra	FV252_inra
M7	10	275461	104055477	ND245	ND245
M7	10	104055477	123127233	B96	B96
M7	10	123366346	123697393	A632_usa	FV2_inra
M7	10	123697429	123904728	A632_usa	B96
M7	10	123904776	124085280	A632_usa	OH43_inra
M7	10	124085482	125185334	A632_usa	B96
M7	10	125216108	125327007	A632_usa	CO255_inra
M7	10	125352343	126151368	A632_usa	B96
M7	10	126151399	126305861	B96	B96
M7	10	126328466	126556320	A632_usa	B96
M7	10	126556441	126669427	A632_usa	A654_inra
M7	10	126669492	126912953	A632_usa	B96
M7	10	126913059	127060140	FV252_inra	B96
M7	10	127066246	128013502	A632_usa	FV2_inra
M7	10	128014308	128580596	FV2_inra	FV2_inra
M7	10	128584390	128970276	A632_usa	CO255_inra
M7	10	128970462	129837825	A632_usa	FV2_inra
M7	10	129838266	130103352	A632_usa	CO255_inra
M7	10	130104500	133195254	A632_usa	FV2_inra
M7	10	133195363	133349595	A632_usa	CO255_inra
M7	10	133349838	133843419	A632_usa	FV2_inra
M7	10	133844387	134082363	A632_usa	CO255_inra
M7	10	134082446	134797488	A632_usa	FV2_inra
M7	10	134815572	135023957	A632_usa	CO255_inra
M7	10	135024167	135352220	FV2_inra	FV2_inra
M7	10	135352346	137841244	A632_usa	FV2_inra
M7	10	137841324	138047737	OH43_inra	FV2_inra
M7	10	138048145	139413606	A632_usa	OH43_inra
M7	10	139418421	140163135	OH43_inra	OH43_inra
M7	10	140165674	143739723	A632_usa	OH43_inra
M7	10	143739819	144038971	OH43_inra	OH43_inra
M7	10	144039166	147554454	A632_usa	OH43_inra
M7	10	147556384	147844079	OH43_inra	OH43_inra
M7	10	147844985	148415490	A632_usa	OH43_inra
M7	10	148415791	148707844	A632_usa	FV252_inra
M10	10	275461	9994843	OH43_inra	OH43_inra
M10	10	9994843	125868209	A632_usa	A632_usa
M10	10	125872270	125992264	A632_usa	FV2_inra
M10	10	126328466	128332297	A632_usa	ND245
M10	10	128332307	128580596	ND245	ND245
M10	10	128584390	128720433	A632_usa	OH43_inra
M10	10	128720594	129544719	A632_usa	ND245
M10	10	129544752	130311407	A632_usa	D105_inra
M10	10	130320818	130835002	A632_usa	ND245
M10	10	130835062	131593852	B96	ND245
M10	10	131761850	133532242	A632_usa	B96
M10	10	133533303	133908327	B96	B96
M10	10	133908809	134674563	A632_usa	B96
M10	10	134674593	134797488	A632_usa	C103_inra
M10	10	134815572	142920604	A632_usa	B96
M10	10	142923056	143090150	A632_usa	D105_inra
M10	10	143090452	149602124	A632_usa	B96
M1	10	275461	17969501	VA85	VA85
M1	10	17969501	123466963	DK63	DK63
M1	10	123467230	124346881	A632_usa	DK63
M1	10	124347064	124546245	A632_usa	FV252_inra
M1	10	124546286	126556320	A632_usa	DK63
M1	10	126556441	126669427	A632_usa	A654_inra
M1	10	126669492	129837825	A632_usa	DK63
M1	10	129838266	130103352	A632_usa	EP1_inra
M1	10	130104500	133843419	A632_usa	DK63
M1	10	133844387	133908327	A632_usa	CO255_inra
M1	10	133908809	135352220	A632_usa	F492
M1	10	135352346	135650556	F492	F492
M1	10	135650917	135936288	A632_usa	DK63
M1	10	135936558	139148371	A632_usa	A632_usa
M1	10	139149029	143897053	A632_usa	F492
M1	10	143897115	144038971	F492	F492
M1	10	144039166	144631678	A632_usa	F492
M1	10	144631823	144914243	D105_inra	F492
M1	10	144914387	145326784	OH43_inra	D105_inra
M1	10	145328019	146021349	A632_usa	D105_inra
M1	10	146021391	146117699	D105_inra	D105_inra
M1	10	146117892	146762599	A632_usa	D105_inra
M1	10	146762760	146885484	B73_inra	D105_inra
M1	10	146886061	147037403	B73_inra	CO255_inra
M1	10	147038012	148415490	A632_usa	B73_inra
M1	10	148415791	149602124	B73_inra	B73_inra
